anio,mes,dia,hora(utc),altura(mm)
2016,1,18,10,1315
2016,1,18,11,1501
2016,1,18,12,1575
2016,1,18,13,1516
2016,1,18,14,1334
2016,1,18,15,1065
2016,1,18,16,764
2016,1,18,17,483
2016,1,18,18,272
2016,1,18,19,166
2016,1,18,20,178
2016,1,18,21,296
2016,1,18,22,484
2016,1,18,23,689
2016,1,19,0,857
2016,1,19,1,945
2016,1,19,2,937
2016,1,19,3,846
2016,1,19,4,712
2016,1,19,5,582
2016,1,19,6,504
2016,1,19,7,517
2016,1,19,8,637
2016,1,19,9,854
2016,1,19,10,1127
2016,1,19,11,1398
2016,1,19,12,1600
2016,1,19,13,1678
2016,1,19,14,1605
2016,1,19,15,1387
2016,1,19,16,1065
2016,1,19,17,700
2016,1,19,18,359
2016,1,19,19,103
2016,1,19,20,-21
2016,1,19,21,1
2016,1,19,22,156
2016,1,19,23,399
2016,1,20,0,665
2016,1,20,1,886
2016,1,20,2,1011
2016,1,20,3,1018
2016,1,20,4,922
2016,1,20,5,768
2016,1,20,6,615
2016,1,20,7,520
2016,1,20,8,529
2016,1,20,9,661
2016,1,20,10,901
2016,1,20,11,1203
2016,1,20,12,1497
2016,1,20,13,1708
2016,1,20,14,1774
2016,1,20,15,1665
2016,1,20,16,1393
2016,1,20,17,1007
2016,1,20,18,583
2016,1,20,19,201
2016,1,20,20,-68
2016,1,20,21,-178
2016,1,20,22,-114
2016,1,20,23,99
2016,1,21,0,401
2016,1,21,1,716
2016,1,21,2,966
2016,1,21,3,1094
2016,1,21,4,1084
2016,1,21,5,957
2016,1,21,6,771
2016,1,21,7,596
2016,1,21,8,498
2016,1,21,9,523
2016,1,21,10,685
2016,1,21,11,963
2016,1,21,12,1297
2016,1,21,13,1607
2016,1,21,14,1809
2016,1,21,15,1840
2016,1,21,16,1674
2016,1,21,17,1335
2016,1,21,18,889
2016,1,21,19,426
2016,1,21,20,35
2016,1,21,21,-213
2016,1,21,22,-274
2016,1,21,23,-146
2016,1,22,0,131
2016,1,22,1,484
2016,1,22,2,823
2016,1,22,3,1068
2016,1,22,4,1167
2016,1,22,5,1112
2016,1,22,6,941
2016,1,22,7,726
2016,1,22,8,544
2016,1,22,9,462
2016,1,22,10,522
2016,1,22,11,730
2016,1,22,12,1048
2016,1,22,13,1405
2016,1,22,14,1711
2016,1,22,15,1878
2016,1,22,16,1848
2016,1,22,17,1611
2016,1,22,18,1208
2016,1,22,19,722
2016,1,22,20,252
2016,1,22,21,-112
2016,1,22,22,-303
2016,1,22,23,-290
2016,1,23,0,-89
2016,1,23,1,245
2016,1,23,2,624
2016,1,23,3,955
2016,1,23,4,1163
2016,1,23,5,1206
2016,1,23,6,1093
2016,1,23,7,881
2016,1,23,8,651
2016,1,23,9,482
2016,1,23,10,438
2016,1,23,11,548
2016,1,23,12,804
2016,1,23,13,1153
2016,1,23,14,1511
2016,1,23,15,1783
2016,1,23,16,1888
2016,1,23,17,1783
2016,1,23,18,1475
2016,1,23,19,1026
2016,1,23,20,531
2016,1,23,21,91
2016,1,23,22,-210
2016,1,23,23,-318
2016,1,24,0,-220
2016,1,24,1,48
2016,1,24,2,416
2016,1,24,3,790
2016,1,24,4,1082
2016,1,24,5,1225
2016,1,24,6,1200
2016,1,24,7,1033
2016,1,24,8,796
2016,1,24,9,572
2016,1,24,10,438
2016,1,24,11,445
2016,1,24,12,609
2016,1,24,13,903
2016,1,24,14,1259
2016,1,24,15,1589
2016,1,24,16,1799
2016,1,24,17,1823
2016,1,24,18,1639
2016,1,24,19,1277
2016,1,24,20,813
2016,1,24,21,347
2016,1,24,22,-27
2016,1,24,23,-237
2016,1,25,0,-249
2016,1,25,1,-73
2016,1,25,2,241
2016,1,25,3,612
2016,1,25,4,951
2016,1,25,5,1176
2016,1,25,6,1244
2016,1,25,7,1153
2016,1,25,8,949
2016,1,25,9,709
2016,1,25,10,514
2016,1,25,11,429
2016,1,25,12,492
2016,1,25,13,699
2016,1,25,14,1008
2016,1,25,15,1342
2016,1,25,16,1612
2016,1,25,17,1740
2016,1,25,18,1680
2016,1,25,19,1433
2016,1,25,20,1047
2016,1,25,21,606
2016,1,25,22,204
2016,1,25,23,-76
2016,1,26,0,-184
2016,1,26,1,-106
2016,1,26,2,128
2016,1,26,3,458
2016,1,26,4,802
2016,1,26,5,1078
2016,1,26,6,1225
2016,1,26,7,1219
2016,1,26,8,1079
2016,1,26,9,861
2016,1,26,10,641
2016,1,26,11,490
2016,1,26,12,461
2016,1,26,13,570
2016,1,26,14,799
2016,1,26,15,1092
2016,1,26,16,1373
2016,1,26,17,1565
2016,1,26,18,1607
2016,1,26,19,1478
2016,1,26,20,1197
2016,1,26,21,823
2016,1,26,22,439
2016,1,26,23,129
2016,1,27,0,-46
2016,1,27,1,-57
2016,1,27,2,90
2016,1,27,3,353
2016,1,27,4,667
2016,1,27,5,957
2016,1,27,6,1158
2016,1,27,7,1229
2016,1,27,8,1166
2016,1,27,9,1001
2016,1,27,10,791
2016,1,27,11,606
2016,1,27,12,505
2016,1,27,13,522
2016,1,27,14,657
2016,1,27,15,879
2016,1,27,16,1128
2016,1,27,17,1338
2016,1,27,18,1447
2016,1,27,19,1418
2016,1,27,20,1247
2016,1,27,21,968
2016,1,27,22,642
2016,1,27,23,341
2016,1,28,0,132
2016,1,28,1,55
2016,1,28,2,120
2016,1,28,3,307
2016,1,28,4,566
2016,1,28,5,839
2016,1,28,6,1064
2016,1,28,7,1192
2016,1,28,8,1203
2016,1,28,9,1106
2016,1,28,10,937
2016,1,28,11,752
2016,1,28,12,608
2016,1,28,13,549
2016,1,28,14,592
2016,1,28,15,725
2016,1,28,16,912
2016,1,28,17,1099
2016,1,28,18,1235
2016,1,28,19,1277
2016,1,28,20,1204
2016,1,28,21,1027
2016,1,28,22,785
2016,1,28,23,530
2016,1,29,0,321
2016,1,29,1,205
2016,1,29,2,205
2016,1,29,3,317
2016,1,29,4,510
2016,1,29,5,742
2016,1,29,6,962
2016,1,29,7,1124
2016,1,29,8,1195
2016,1,29,9,1168
2016,1,29,10,1060
2016,1,29,11,904
2016,1,29,12,748
2016,1,29,13,637
2016,1,29,14,600
2016,1,29,15,643
2016,1,29,16,747
2016,1,29,17,881
2016,1,29,18,1006
2016,1,29,19,1083
2016,1,29,20,1085
2016,1,29,21,1003
2016,1,29,22,854
2016,1,29,23,670
2016,1,30,0,494
2016,1,30,1,369
2016,1,30,2,325
2016,1,30,3,371
2016,1,30,4,497
2016,1,30,5,674
2016,1,30,6,867
2016,1,30,7,1037
2016,1,30,8,1152
2016,1,30,9,1189
2016,1,30,10,1148
2016,1,30,11,1044
2016,1,30,12,906
2016,1,30,13,772
2016,1,30,14,674
2016,1,30,15,632
2016,1,30,16,648
2016,1,30,17,707
2016,1,30,18,788
2016,1,30,19,865
2016,1,30,20,911
2016,1,30,21,907
2016,1,30,22,849
2016,1,30,23,750
2016,1,31,0,632
2016,1,31,1,526
2016,1,31,2,462
2016,1,31,3,459
2016,1,31,4,520
2016,1,31,5,636
2016,1,31,6,785
2016,1,31,7,942
2016,1,31,8,1080
2016,1,31,9,1171
2016,1,31,10,1198
2016,1,31,11,1158
2016,1,31,12,1063
2016,1,31,13,935
2016,1,31,14,803
2016,1,31,15,692
2016,1,31,16,619
2016,1,31,17,592
2016,1,31,18,605
2016,1,31,19,649
2016,1,31,20,705
2016,1,31,21,754
2016,1,31,22,776
2016,1,31,23,764
